				Healthy						Sick					
P35858	Insulin-like growth factor-binding protein complex acid labile subunit OS=Homo sapiens GN=IGFALS PE=1 SV=1	0.187	0.306	1.963	3.677	0.575	0.536	1.476	0.741	0.702	0.475	1.554	0.844	0.523	0.445
P08571	Monocyte differentiation antigen CD14 OS=Homo sapiens GN=CD14 PE=1 SV=2	0.694	0.785	0.666	0.369	0.542	0.364	0.500	0.607	0.890	0.687	0.862	0.554	0.290	0.304
P02654	Apolipoprotein C-I OS=Homo sapiens GN=APOC1 PE=1 SV=1	0.009	0.033	1.614	1.633	1.588	1.731	1.653	1.667	0.461	0.895	1.676	0.711	0.804	0.729
P68363	Tubulin alpha-1B chain OS=Homo sapiens GN=TUBA1B PE=1 SV=1	0.127	0.229	0.581	0.683	2.220	1.011	1.686	0.917	0.421	0.664	0.942	0.763	0.891	0.641
P13667	Protein disulfide-isomerase A4 OS=Homo sapiens GN=PDIA4 PE=1 SV=2	0.259	0.386	1.207	0.796	0.862	1.294	1.131	1.158	0.534	0.930	1.227	0.785	1.229	0.791
Q12866	Tyrosine-protein kinase Mer OS=Homo sapiens GN=MERTK PE=1 SV=2	0.620	0.730	0.771	0.478	0.621	1.267	1.461	0.750	0.817	0.713	0.872	1.080	1.176	0.887
P05546	Heparin cofactor 2 OS=Homo sapiens GN=SERPIND1 PE=1 SV=3	0.696	0.785	0.874	0.635	0.842	0.804	0.636	0.938	0.499	1.265	1.148	0.961	1.028	0.492
P55145	Mesencephalic astrocyte-derived neurotrophic factor OS=Homo sapiens GN=MANF PE=1 SV=3	0.006	0.026	1.222	1.348	3.884	1.645	2.790	1.700	0.427	0.749	1.798	0.356	0.608	0.814
Q9H3S1	Semaphorin-4A OS=Homo sapiens GN=SEMA4A PE=1 SV=2	0.850	0.907	0.451	0.668	0.795	1.425	4.367	1.031	1.309	0.934	1.115	0.765	1.399	0.703
P08238	Heat shock protein HSP 90-beta OS=Homo sapiens GN=HSP90AB1 PE=1 SV=4	0.174	0.291	1.712	1.043	1.606	0.200	1.885	0.617	0.589	0.564	0.721	0.712	0.330	0.374
Q15113	Procollagen C-endopeptidase enhancer 1 OS=Homo sapiens GN=PCOLCE PE=1 SV=2	0.395	0.523	1.453	0.743	1.355	1.214	1.531	0.966	1.084	1.572	1.415	1.184	0.550	0.470
Q99436	Proteasome subunit beta type-7 OS=Homo sapiens GN=PSMB7 PE=1 SV=1	0.059	0.131	0.756	0.180	0.300	0.191	0.292	0.277	0.224	0.192	0.292	0.130	0.117	0.109
P13942	Collagen alpha-2(XI) chain OS=Homo sapiens GN=COL11A2 PE=1 SV=5	0.895	0.928	0.911	0.813	0.550	0.953	0.943	1.023	0.884	1.080	0.801	0.779	1.046	0.537
P13671	Complement component C6 OS=Homo sapiens GN=C6 PE=1 SV=3	0.002	0.011	1.726	1.205	1.770	1.040	1.435	1.908	0.479	0.468	1.167	0.437	0.843	0.611
Q9Y4L1	Hypoxia up-regulated protein 1 OS=Homo sapiens GN=HYOU1 PE=1 SV=1	0.913	0.940	1.172	0.770	0.879	1.096	0.908	1.213	1.037	0.653	0.871	1.595	1.293	0.706
P09382	Galectin-1 OS=Homo sapiens GN=LGALS1 PE=1 SV=2	0.003	0.016	0.488	0.435	0.497	0.768	0.857	0.903	1.606	1.321	1.693	1.295	0.902	0.889
P50395	Rab GDP dissociation inhibitor beta OS=Homo sapiens GN=GDI2 PE=1 SV=2	0.007	0.029	0.132	0.084	0.094	0.117	0.171	0.154	2.996	1.539	1.008	0.439	0.273	0.227
Q9H6X2	Anthrax toxin receptor 1 OS=Homo sapiens GN=ANTXR1 PE=1 SV=2	0.000	0.003	0.351	0.305	0.364	0.418	0.389	0.758	1.100	1.436	0.998	0.838	1.264	0.865
O60462	Neuropilin-2 OS=Homo sapiens GN=NRP2 PE=1 SV=2	0.002	0.014	0.042	0.243	0.098	0.148	0.098	0.127	1.767	3.137	1.092	0.738	0.207	0.396
P27701	CD82 antigen OS=Homo sapiens GN=CD82 PE=1 SV=1	0.020	0.060	0.651	0.782	4.378	1.285	2.760	1.582	0.485	0.563	0.656	0.385	0.634	0.789
P62979	Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens GN=RPS27A PE=1 SV=2	0.256	0.385	1.059	1.401	0.806	0.706	1.003	0.733	0.851	0.646	1.252	0.805	0.536	0.651
P00746	Complement factor D OS=Homo sapiens GN=CFD PE=1 SV=5	0.004	0.019	0.575	0.837	0.357	0.489	0.548	0.391	0.862	0.959	2.298	1.755	1.417	0.705
P29279	Connective tissue growth factor OS=Homo sapiens GN=CTGF PE=1 SV=2	0.009	0.033	0.589	0.493	0.293	0.776	0.873	0.720	1.314	1.363	1.137	1.294	1.021	0.739
P62258	14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1	0.012	0.041	0.582	0.657	0.506	0.704	0.490	0.415	1.327	1.859	2.423	1.505	0.496	0.997
Q12913	Receptor-type tyrosine-protein phosphatase eta OS=Homo sapiens GN=PTPRJ PE=1 SV=3	0.010	0.037	0.930	0.987	1.248	1.437	1.285	1.245	2.275	2.567	2.804	1.291	1.748	4.861
P28062	Proteasome subunit beta type-8 OS=Homo sapiens GN=PSMB8 PE=1 SV=3	0.174	0.291	0.820	0.511	0.531	1.009	0.937	0.742	0.763	0.878	2.465	1.300	1.102	0.562
P07384	Calpain-1 catalytic subunit OS=Homo sapiens GN=CAPN1 PE=1 SV=1	0.006	0.024	0.475	0.623	0.431	0.268	0.286	0.219	0.998	1.320	1.350	0.912	0.796	0.368
P55056	Apolipoprotein C-IV OS=Homo sapiens GN=APOC4 PE=1 SV=1	0.084	0.169	0.730	0.532	0.444	0.224	0.204	0.355	0.613	0.456	1.062	0.574	0.885	0.371
P67936	Tropomyosin alpha-4 chain OS=Homo sapiens GN=TPM4 PE=1 SV=3	0.065	0.139	0.532	0.044	0.046	0.193	0.152	0.158	2.865	0.366	0.613	0.308	0.294	0.119
Q09666	Neuroblast differentiation-associated protein AHNAK OS=Homo sapiens GN=AHNAK PE=1 SV=2	0.002	0.013	1.449	1.301	0.964	1.226	1.878	1.899	0.276	0.411	0.805	0.927	0.552	0.633
P30499	HLA class I histocompatibility antigen, Cw-1 alpha chain OS=Homo sapiens GN=HLA-C PE=1 SV=1	0.249	0.378	0.658	0.655	0.832	1.225	1.360	1.295	0.857	0.843	1.007	0.828	0.760	0.452
O75368	SH3 domain-binding glutamic acid-rich-like protein OS=Homo sapiens GN=SH3BGRL PE=1 SV=1	0.041	0.101	1.384	1.743	0.769	0.973	1.275	0.866	0.569	0.779	0.797	0.958	0.991	0.655
P01130	Low-density lipoprotein receptor OS=Homo sapiens GN=LDLR PE=1 SV=1	0.160	0.274	0.655	0.146	0.433	0.495	0.448	0.519	0.393	0.368	0.708	0.436	2.208	1.640
P01024	Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2	0.488	0.615	0.345	0.481	1.458	0.624	1.175	0.706	0.871	0.753	1.198	0.940	0.733	0.659
Q13103	Secreted phosphoprotein 24 OS=Homo sapiens GN=SPP2 PE=1 SV=1	0.071	0.148	0.652	0.792	0.635	1.131	0.890	0.793	0.883	0.760	1.567	0.898	1.317	1.217
P98160	Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens GN=HSPG2 PE=1 SV=4	0.636	0.744	1.148	0.881	1.081	1.281	1.013	0.964	1.445	1.453	1.912	1.469	0.539	0.789
P26038	Moesin OS=Homo sapiens GN=MSN PE=1 SV=3	0.261	0.389	0.041	0.561	0.936	0.483	0.992	0.674	0.677	0.915	0.905	1.322	0.768	0.528
P02751	Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4	0.001	0.010	1.508	1.134	1.626	1.762	2.218	1.730	0.392	0.931	0.756	0.499	0.322	0.911
Q14956	Transmembrane glycoprotein NMB OS=Homo sapiens GN=GPNMB PE=1 SV=2	0.101	0.193	0.761	0.464	0.609	0.467	0.560	0.411	0.827	1.138	2.967	0.864	0.529	0.482
P26022	Pentraxin-related protein PTX3 OS=Homo sapiens GN=PTX3 PE=1 SV=3	0.022	0.064	0.155	0.284	0.600	0.263	0.409	0.322	1.234	1.117	1.203	0.706	0.322	0.380
O75882	Attractin OS=Homo sapiens GN=ATRN PE=1 SV=2	0.935	0.954	0.809	0.073	0.050	0.010	0.013	0.011	0.080	0.074	0.115	0.022	0.026	0.016
P50502	Hsc70-interacting protein OS=Homo sapiens GN=ST13 PE=1 SV=2	0.015	0.050	1.263	1.074	1.671	4.367	3.547	4.897	1.993	0.534	0.603	1.037	0.612	1.001
O00299	Chloride intracellular channel protein 1 OS=Homo sapiens GN=CLIC1 PE=1 SV=4	0.097	0.188	1.462	1.252	0.985	1.075	1.429	1.637	0.894	1.125	0.730	1.139	0.689	1.526
O15144	Actin-related protein 2/3 complex subunit 2 OS=Homo sapiens GN=ARPC2 PE=1 SV=1	0.499	0.625	2.619	6.138	0.911	1.196	0.010	0.010	1.041	0.895	2.189	0.011	0.010	0.010
P27487	Dipeptidyl peptidase 4 OS=Homo sapiens GN=DPP4 PE=1 SV=2	0.074	0.154	0.987	0.967	1.672	1.478	1.703	1.879	0.338	0.712	0.685	1.145	1.826	0.868
P63104	14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1	0.013	0.045	0.383	0.414	0.300	0.427	0.475	0.342	2.082	2.166	1.828	0.345	0.692	1.264
Q05682	Caldesmon OS=Homo sapiens GN=CALD1 PE=1 SV=3	0.005	0.024	0.908	1.094	1.853	1.282	2.557	2.007	0.712	0.923	1.206	0.438	0.428	0.572
Q07960	Rho GTPase-activating protein 1 OS=Homo sapiens GN=ARHGAP1 PE=1 SV=1	0.974	0.980	1.675	0.455	1.475	2.265	1.933	1.596	1.229	0.803	1.322	1.945	5.854	0.486
P13688	Carcinoembryonic antigen-related cell adhesion molecule 1 OS=Homo sapiens GN=CEACAM1 PE=1 SV=2	0.169	0.285	0.278	1.291	1.879	0.426	0.385	1.329	0.142	0.110	1.512	0.213	1.223	0.124
P06276	Cholinesterase OS=Homo sapiens GN=BCHE PE=1 SV=1	0.386	0.514	0.474	0.552	1.232	0.563	1.040	0.843	1.077	0.707	0.906	0.373	0.456	0.345
Q04721	Neurogenic locus notch homolog protein 2 OS=Homo sapiens GN=NOTCH2 PE=1 SV=3	0.847	0.906	1.098	0.254	0.193	0.037	0.077	0.067	0.967	0.203	0.239	0.092	0.072	0.071
P04179	Superoxide dismutase [Mn], mitochondrial OS=Homo sapiens GN=SOD2 PE=1 SV=2	0.005	0.022	0.178	0.127	0.196	0.101	0.211	0.091	0.890	0.564	0.466	0.357	0.209	0.224
P19022	Cadherin-2 OS=Homo sapiens GN=CDH2 PE=1 SV=4	0.000	0.001	0.623	0.482	0.428	0.549	0.645	0.525	1.139	1.327	1.060	1.104	1.165	0.816
Q86SQ4	Adhesion G-protein coupled receptor G6 OS=Homo sapiens GN=ADGRG6 PE=1 SV=3	0.084	0.168	2.540	5.320	0.933	0.698	1.827	1.087	0.887	0.678	1.449	0.789	0.862	0.502
Q0VD83	Apolipoprotein B receptor OS=Homo sapiens GN=APOBR PE=1 SV=2	0.019	0.058	0.464	0.358	0.274	0.411	0.405	0.492	2.158	1.140	1.162	0.660	0.661	0.391
P61204	ADP-ribosylation factor 3 OS=Homo sapiens GN=ARF3 PE=1 SV=2	0.217	0.343	0.666	0.253	0.426	0.418	0.807	0.685	0.415	0.386	0.647	0.286	0.329	0.310
Q96RE7	Nucleus accumbens-associated protein 1 OS=Homo sapiens GN=NACC1 PE=1 SV=1	0.111	0.207	0.544	0.369	0.387	0.428	0.477	0.471	2.869	0.972	1.209	0.444	0.455	0.417
Q9HBR0	Putative sodium-coupled neutral amino acid transporter 10 OS=Homo sapiens GN=SLC38A10 PE=1 SV=2	0.638	0.745	0.971	0.230	0.331	0.163	0.180	0.180	0.652	0.337	0.547	0.119	0.084	0.081
P24043	Laminin subunit alpha-2 OS=Homo sapiens GN=LAMA2 PE=1 SV=4	0.620	0.730	0.208	0.500	1.233	0.536	0.904	0.565	1.326	1.086	0.846	0.404	0.466	0.418
P55072	Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4	0.023	0.066	1.039	0.889	0.827	0.823	1.027	0.963	0.999	1.691	1.305	1.450	0.953	1.151
Q99439	Calponin-2 OS=Homo sapiens GN=CNN2 PE=1 SV=4	0.000	0.005	1.138	1.062	3.080	1.908	1.870	1.208	0.283	0.741	0.648	0.238	0.539	0.394
Q9BXJ4	Complement C1q tumor necrosis factor-related protein 3 OS=Homo sapiens GN=C1QTNF3 PE=1 SV=1	0.060	0.131	0.734	0.528	0.776	0.705	0.619	0.502	0.777	0.787	1.817	1.161	0.750	0.671
P07237	Protein disulfide-isomerase OS=Homo sapiens GN=P4HB PE=1 SV=3	0.779	0.857	0.674	0.094	0.133	0.102	0.125	0.106	0.460	0.218	0.241	0.127	0.113	0.067
Q96IY4	Carboxypeptidase B2 OS=Homo sapiens GN=CPB2 PE=1 SV=2	0.505	0.627	5.944	2.771	0.541	1.983	2.285	1.470	0.754	2.849	3.233	1.868	0.707	1.134
Q96CX2	BTB/POZ domain-containing protein KCTD12 OS=Homo sapiens GN=KCTD12 PE=1 SV=1	0.000	0.003	0.310	0.279	0.263	0.696	0.451	0.551	1.191	1.550	1.697	1.948	1.100	0.827
P10599	Thioredoxin OS=Homo sapiens GN=TXN PE=1 SV=3	0.476	0.602	0.518	0.570	0.990	0.734	1.233	1.105	0.649	0.790	1.005	0.865	0.615	0.469
P31948	Stress-induced-phosphoprotein 1 OS=Homo sapiens GN=STIP1 PE=1 SV=1	0.469	0.595	2.236	1.405	1.154	0.930	0.642	0.766	2.009	1.586	3.885	1.294	1.135	0.440
Q16610	Extracellular matrix protein 1 OS=Homo sapiens GN=ECM1 PE=1 SV=2	0.003	0.016	0.645	0.786	1.197	0.871	0.864	1.011	1.217	1.197	2.008	1.736	1.329	1.237
P19397	Leukocyte surface antigen CD53 OS=Homo sapiens GN=CD53 PE=1 SV=1	0.295	0.424	1.127	0.716	0.889	1.262	0.893	1.077	0.722	0.876	0.930	0.890	1.043	0.830
P62736	Actin, aortic smooth muscle OS=Homo sapiens GN=ACTA2 PE=1 SV=1	0.023	0.066	0.708	0.767	3.132	1.144	2.403	1.177	0.489	0.690	0.748	0.466	0.625	0.681
Q9H4B7	Tubulin beta-1 chain OS=Homo sapiens GN=TUBB1 PE=1 SV=1	0.688	0.782	1.436	1.259	1.273	0.843	0.676	0.650	0.515	1.272	1.300	0.833	0.826	0.889
Q9UBG0	C-type mannose receptor 2 OS=Homo sapiens GN=MRC2 PE=1 SV=2	0.000	0.003	0.383	0.225	0.180	0.213	0.304	0.128	1.101	1.380	0.851	2.224	0.547	0.865
O60888	Protein CutA OS=Homo sapiens GN=CUTA PE=1 SV=2	0.001	0.010	0.621	0.583	0.471	1.023	0.917	1.272	1.341	1.924	2.246	2.633	1.266	2.199
P00568	Adenylate kinase isoenzyme 1 OS=Homo sapiens GN=AK1 PE=1 SV=3	0.863	0.913	0.743	0.121	0.153	0.681	0.600	0.481	0.846	0.266	0.272	0.357	0.922	0.209
P13473	Lysosome-associated membrane glycoprotein 2 OS=Homo sapiens GN=LAMP2 PE=1 SV=2	0.005	0.023	0.107	0.155	0.085	0.512	0.425	0.352	1.050	1.203	1.271	0.810	0.644	0.505
Q9UBQ6	Exostosin-like 2 OS=Homo sapiens GN=EXTL2 PE=1 SV=1	0.060	0.131	0.021	0.048	0.011	0.359	0.259	0.381	0.824	1.397	1.373	0.066	0.234	0.450
P59998	Actin-related protein 2/3 complex subunit 4 OS=Homo sapiens GN=ARPC4 PE=1 SV=3	0.028	0.077	0.860	0.688	1.417	0.602	0.519	0.450	1.145	1.280	1.911	2.755	0.697	1.152
P02042	Hemoglobin subunit delta OS=Homo sapiens GN=HBD PE=1 SV=2	0.785	0.860	1.992	1.079	1.295	0.792	0.719	0.518	0.596	0.973	1.616	1.232	0.834	0.552
O43707	Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2	0.281	0.411	0.700	0.595	0.522	0.114	0.193	0.116	1.192	0.871	1.116	0.148	0.254	0.367
P08697	Alpha-2-antiplasmin OS=Homo sapiens GN=SERPINF2 PE=1 SV=3	0.293	0.424	1.145	1.321	0.893	1.338	1.197	1.890	0.423	1.501	1.233	0.947	0.990	1.334
P60842	Eukaryotic initiation factor 4A-I OS=Homo sapiens GN=EIF4A1 PE=1 SV=1	0.253	0.380	0.558	0.205	0.395	0.236	0.366	0.260	0.877	0.389	1.280	0.223	0.383	0.282
Q16822	Phosphoenolpyruvate carboxykinase [GTP], mitochondrial OS=Homo sapiens GN=PCK2 PE=1 SV=3	0.144	0.253	1.069	0.689	0.975	0.985	0.911	1.470	1.479	1.276	1.947	1.537	0.727	1.166
P08253	72 kDa type IV collagenase OS=Homo sapiens GN=MMP2 PE=1 SV=2	0.928	0.949	0.488	0.269	0.783	0.290	0.441	0.352	1.188	0.926	0.894	0.161	0.209	0.177
P11362	Fibroblast growth factor receptor 1 OS=Homo sapiens GN=FGFR1 PE=1 SV=3	0.657	0.762	0.557	0.613	1.719	0.879	1.482	1.171	0.586	0.798	1.085	1.660	0.869	0.622
P09417	Dihydropteridine reductase OS=Homo sapiens GN=QDPR PE=1 SV=2	0.821	0.883	0.635	0.305	1.044	0.636	1.131	0.756	0.980	0.671	0.866	0.755	0.623	0.552
Q9UJJ9	N-acetylglucosamine-1-phosphotransferase subunit gamma OS=Homo sapiens GN=GNPTG PE=1 SV=1	0.004	0.018	0.902	0.745	0.355	0.522	0.695	0.538	1.157	1.124	1.350	1.388	0.932	0.892
P61626	Lysozyme C OS=Homo sapiens GN=LYZ PE=1 SV=1	0.505	0.627	1.172	1.047	1.058	1.354	1.102	1.513	0.906	1.279	2.060	0.840	0.947	0.785
Q9P0L0	Vesicle-associated membrane protein-associated protein A OS=Homo sapiens GN=VAPA PE=1 SV=3	0.997	0.997	0.893	0.933	0.834	0.782	1.030	0.972	1.196	1.433	1.117	0.904	0.514	0.614
P06703	Protein S100-A6 OS=Homo sapiens GN=S100A6 PE=1 SV=1	0.070	0.147	0.232	0.124	0.089	0.566	1.197	1.375	1.508	0.906	1.375	0.838	1.756	0.621
P02545	Prelamin-A/C OS=Homo sapiens GN=LMNA PE=1 SV=1	0.935	0.954	0.580	0.045	0.068	0.250	1.104	0.544	0.994	0.132	0.259	0.471	0.130	0.093
P01008	Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1	0.800	0.869	0.773	0.529	0.617	0.982	0.809	0.776	0.491	0.429	0.929	1.156	0.939	0.543
P02656	Apolipoprotein C-III OS=Homo sapiens GN=APOC3 PE=1 SV=1	0.078	0.159	0.452	0.082	0.307	0.699	1.210	0.916	0.920	1.246	0.835	1.699	0.985	1.096
P60660	Myosin light polypeptide 6 OS=Homo sapiens GN=MYL6 PE=1 SV=2	0.000	0.001	0.373	0.299	0.201	0.299	0.459	0.388	1.405	1.245	1.340	1.128	0.937	0.891
P24298	Alanine aminotransferase 1 OS=Homo sapiens GN=GPT PE=1 SV=3	0.815	0.879	2.700	0.610	1.162	0.737	1.267	1.935	1.065	1.552	1.488	1.497	0.625	1.014
P17174	Aspartate aminotransferase, cytoplasmic OS=Homo sapiens GN=GOT1 PE=1 SV=3	0.000	0.003	1.184	1.431	1.058	1.807	1.770	1.822	0.777	0.714	0.889	0.623	0.650	0.780
P02745	Complement C1q subcomponent subunit A OS=Homo sapiens GN=C1QA PE=1 SV=2	0.226	0.352	0.953	1.171	0.908	1.273	1.053	1.483	0.645	1.423	0.406	0.859	1.245	0.998
P25787	Proteasome subunit alpha type-2 OS=Homo sapiens GN=PSMA2 PE=1 SV=2	0.226	0.352	0.976	0.742	0.672	0.183	0.260	0.220	2.720	1.007	1.292	0.561	0.358	0.258
Q9NQ79	Cartilage acidic protein 1 OS=Homo sapiens GN=CRTAC1 PE=1 SV=2	0.226	0.352	0.273	0.059	0.219	0.883	1.203	0.979	1.033	0.897	0.345	1.378	0.694	0.736
O75144	ICOS ligand OS=Homo sapiens GN=ICOSLG PE=1 SV=2	0.113	0.210	0.612	0.619	0.565	0.699	0.692	0.841	0.739	0.871	1.135	1.621	0.568	0.761
P07360	Complement component C8 gamma chain OS=Homo sapiens GN=C8G PE=1 SV=3	0.015	0.049	0.358	0.018	0.113	0.210	0.212	0.479	3.007	0.432	1.238	1.170	2.156	0.237
P29508	Serpin B3 OS=Homo sapiens GN=SERPINB3 PE=1 SV=2	0.051	0.118	1.008	1.179	0.727	0.952	1.109	0.935	0.671	0.644	1.093	0.913	0.605	0.663
P11216	Glycogen phosphorylase, brain form OS=Homo sapiens GN=PYGB PE=1 SV=5	0.000	0.004	1.530	1.647	0.914	1.458	1.270	1.415	0.401	0.477	0.799	0.736	0.439	0.740
P00488	Coagulation factor XIII A chain OS=Homo sapiens GN=F13A1 PE=1 SV=4	0.877	0.918	0.911	0.209	0.422	0.084	0.171	0.120	0.676	0.337	0.426	0.141	0.161	0.098
P31146	Coronin-1A OS=Homo sapiens GN=CORO1A PE=1 SV=4	0.861	0.912	0.055	0.377	0.079	1.523	1.491	1.280	0.248	0.098	0.065	1.073	1.129	1.033
P63244	Receptor of activated protein C kinase 1 OS=Homo sapiens GN=RACK1 PE=1 SV=3	0.877	0.918	0.507	0.518	0.449	0.738	0.357	0.672	0.442	0.705	1.092	0.395	0.503	0.374
O95861	3'(2'),5'-bisphosphate nucleotidase 1 OS=Homo sapiens GN=BPNT1 PE=1 SV=1	0.030	0.080	0.998	0.645	3.282	0.617	3.132	0.951	0.547	0.746	0.783	0.320	0.350	0.421
Q8TDL5	BPI fold-containing family B member 1 OS=Homo sapiens GN=BPIFB1 PE=1 SV=1	0.047	0.111	1.014	0.673	0.829	1.063	0.946	0.934	0.865	0.734	0.829	0.742	0.696	0.583
Q8TAQ9	SUN domain-containing protein 3 OS=Homo sapiens GN=SUN3 PE=2 SV=4	0.812	0.879	0.331	0.412	0.982	1.075	1.485	1.250	0.602	0.876	1.044	0.670	1.134	0.960
Q13367	AP-3 complex subunit beta-2 OS=Homo sapiens GN=AP3B2 PE=1 SV=2	0.003	0.018	0.108	0.056	0.071	0.157	0.226	0.207	3.357	1.846	1.286	0.481	0.365	0.265
P23526	Adenosylhomocysteinase OS=Homo sapiens GN=AHCY PE=1 SV=4	0.008	0.030	0.696	0.823	2.667	1.221	1.775	1.198	0.437	0.674	0.728	0.351	0.522	0.728
P69905	Hemoglobin subunit alpha OS=Homo sapiens GN=HBA1 PE=1 SV=2	0.001	0.008	0.167	0.082	0.048	0.085	0.159	0.126	4.169	0.555	1.791	2.492	1.858	0.254
P11766	Alcohol dehydrogenase class-3 OS=Homo sapiens GN=ADH5 PE=1 SV=4	0.007	0.029	0.726	0.952	2.401	1.220	2.252	1.448	0.401	0.584	0.859	0.549	0.651	0.797
P58335	Anthrax toxin receptor 2 OS=Homo sapiens GN=ANTXR2 PE=1 SV=5	0.040	0.099	0.789	0.597	0.711	0.388	0.714	0.644	0.621	0.816	2.043	1.329	0.785	1.079
P30044	Peroxiredoxin-5, mitochondrial OS=Homo sapiens GN=PRDX5 PE=1 SV=4	0.523	0.641	0.765	0.655	0.473	1.005	0.571	0.738	0.780	0.802	1.180	1.052	0.812	0.356
P33908	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA OS=Homo sapiens GN=MAN1A1 PE=1 SV=3	0.000	0.002	2.286	1.355	1.164	2.025	2.591	1.549	0.489	0.586	0.494	0.676	0.495	0.601
P20933	N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase OS=Homo sapiens GN=AGA PE=1 SV=2	0.678	0.777	0.751	0.584	1.672	0.642	1.057	0.949	1.003	0.976	1.008	0.677	1.777	0.687
P19971	Thymidine phosphorylase OS=Homo sapiens GN=TYMP PE=1 SV=2	0.133	0.238	1.984	3.951	1.022	0.686	1.912	0.952	1.006	0.711	1.458	1.006	0.772	0.660
Q00610	Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=5	0.587	0.697	2.508	1.815	7.106	0.456	0.546	0.686	6.610	2.760	1.046	2.597	0.408	1.948
P19021	Peptidyl-glycine alpha-amidating monooxygenase OS=Homo sapiens GN=PAM PE=1 SV=2	0.000	0.001	0.241	0.101	0.110	0.162	0.224	0.186	1.644	0.787	1.130	1.042	2.468	0.726
P25788	Proteasome subunit alpha type-3 OS=Homo sapiens GN=PSMA3 PE=1 SV=2	0.432	0.560	0.637	1.101	0.583	0.981	0.951	0.511	0.872	1.156	0.709	1.325	0.740	0.657
P49773	Histidine triad nucleotide-binding protein 1 OS=Homo sapiens GN=HINT1 PE=1 SV=2	0.037	0.093	0.528	0.344	0.380	0.487	0.436	0.422	1.987	0.876	1.051	1.564	0.319	0.628
Q8NHV9	Rhox homeobox family member 1 OS=Homo sapiens GN=RHOXF1 PE=2 SV=1	0.001	0.008	1.218	1.565	2.502	2.940	2.305	1.872	0.855	1.358	0.646	0.813	0.535	1.027
P06733	Alpha-enolase OS=Homo sapiens GN=ENO1 PE=1 SV=2	0.005	0.022	1.172	1.403	1.557	1.903	1.707	1.613	0.538	0.479	1.087	1.086	0.311	0.620
Q9NPH3	Interleukin-1 receptor accessory protein OS=Homo sapiens GN=IL1RAP PE=1 SV=2	0.427	0.556	0.881	0.669	1.163	0.874	1.656	1.215	4.731	0.420	0.980	0.382	0.443	0.422
P17538	Chymotrypsinogen B OS=Homo sapiens GN=CTRB1 PE=2 SV=2	0.195	0.314	0.566	0.672	2.275	0.829	1.392	0.910	1.979	1.291	2.119	0.967	1.641	0.907
P05387	60S acidic ribosomal protein P2 OS=Homo sapiens GN=RPLP2 PE=1 SV=1	0.501	0.627	0.443	1.366	0.422	0.955	0.918	0.871	0.435	0.334	0.607	0.988	0.769	0.972
O00151	PDZ and LIM domain protein 1 OS=Homo sapiens GN=PDLIM1 PE=1 SV=4	0.018	0.055	0.582	0.837	3.598	1.223	2.763	1.543	0.477	0.726	0.654	0.397	0.482	0.660
P02749	Beta-2-glycoprotein 1 OS=Homo sapiens GN=APOH PE=1 SV=3	0.396	0.523	2.200	1.511	2.213	0.426	0.663	0.608	1.557	1.453	1.133	0.423	0.377	0.345
P08567	Pleckstrin OS=Homo sapiens GN=PLEK PE=1 SV=3	0.008	0.031	1.508	0.944	1.065	1.556	1.127	1.609	0.473	1.029	0.747	0.955	0.888	0.540
P20340	Ras-related protein Rab-6A OS=Homo sapiens GN=RAB6A PE=1 SV=3	0.041	0.100	3.652	3.555	1.749	0.875	1.162	1.526	0.512	0.708	1.642	1.548	0.708	0.675
Q13228	Selenium-binding protein 1 OS=Homo sapiens GN=SELENBP1 PE=1 SV=2	0.118	0.217	1.176	0.178	0.382	0.284	0.527	0.301	0.371	0.166	0.283	0.152	0.266	0.218
P05062	Fructose-bisphosphate aldolase B OS=Homo sapiens GN=ALDOB PE=1 SV=2	0.238	0.365	0.424	0.318	1.816	0.970	1.397	1.195	1.023	0.381	0.586	0.525	0.568	0.520
P02774	Vitamin D-binding protein OS=Homo sapiens GN=GC PE=1 SV=1	0.184	0.304	0.623	0.990	1.540	0.526	1.277	0.910	0.488	0.456	0.900	0.821	0.758	0.793
Q31612	HLA class I histocompatibility antigen, B-73 alpha chain OS=Homo sapiens GN=HLA-B PE=1 SV=1	0.526	0.644	0.445	0.137	0.095	0.049	0.065	0.066	4.737	0.405	0.245	0.044	0.047	0.036
P11586	C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens GN=MTHFD1 PE=1 SV=3	0.681	0.778	1.235	0.806	0.860	0.113	0.857	0.307	1.973	0.547	0.774	0.048	0.308	0.420
